Choms Sławomir Choszcz #         choms.sierakowice@gmail.com     #575 722 999
Anwa-Tech #         anwatech@anwatech.pl     #693 150 205
BL Projekt Breza L #         biuro@blprojekt.pl     #602 783 915
D.M Elewacje Damian Wegner #         damian.wegner@onet.pl     #729 202 076
Trans Paka Bogdan Krawców #         bogdan_krawcow@tlen.pl     #606 494 731
Cieśla-Drewno Cieśla Sławomir #         biuro@ciesla-drewno.pl     #(55) 261 22 73
13 Cegieł Agnieszka Popiół #         agnieszka.popiol@gmail.com     #504 008 355
Tech-Met izolacje #         kontakt@foliaparoizolacyjna.pl     #692 438 699
Żwir Best s.c. #         biuro@zwir-best.pl     #501 154 989
Usługi Ogólno-Sprzętowo-Transportowe, Roboty Drogowe, Żwirownia Teresa Groth #         biuro@groth.pomorskie.pl     #502 491 041
Przedsiębiorstwo Produkcyjno Handlowo Usługowe Embud Kazimierz Szczęsny #         embud-golebiewko@wp.pl     #693 042 290
Drog-Trans Sp. z o.o. PW #         drog-trans@zipnet.com.pl     #(58) 562 07 48
Insbud-Wybrzeże sp. z o.o. #         biuro@insbudwybrzeze.com.pl     #(58) 663 26 51
Krzysztof Skodowski PHU Safex #         info@plandeki.com.pl     #(58) 585 86 99
MB Serwis s.c. #         biuro@mbserwis.com.pl     #(58) 667 00 15
Jagan roboty ziemne, wywóz nieczystości, materiały budowlane #         biuro@jagan.com.pl     #602 443 214
Gresgroup Sp. z o.o. Non Profit #         sklep@gresowo.pl     #604 611 112
Test Pracownia Psychologiczna #         test.sc@interia.pl     #501 128 539
Usługi Wykończeniowe Hewelt Daniel Hewelt #         heweltuslugi@gmail.com     #501 216 568
Party Kids Andrzej Synak #         andre01011986@gmail.com     #608 269 681
Zbudujemy Sp. z o.o. #         biuro@zbudujemy.com     #695 888 382
MarMix Marcin Sychowski ##511 727 037
Dach-Mistrz Daniel Wierciński #         daniel.wiercinski@o2.pl     #501 571 539
Chemtec Mirosław Mirynowski #         biuro@chemtec.pl     #517 132 090
Przedsiębiorstwo Handlowo-Usługowe Wan-Dróg Jan Wanke #         wankejan@wp.pl     #511 936 699
Krispol Krzysztof Styba #         krispol-piaskowanie@wp.pl     #512 036 045
Usługi Transportowe Adam Kalata #         uslugitransportowegdynia@o2.pl     #663 209 357
Anker Service Jerzy Kroczek #         jerzy.kroczek@ankerservice.pl     #(58) 344 35 56
Let Sp. z o.o. #         Let-sklep@wp.pl     #662 184 056
ZDK Usługi Ogólnobudowlane Krystian Kunc #         zdkkunc@wp.pl     #607 221 489
Usługi Ogólnobudowlane Adam Wielgolaski #         adamwielgolaski34@gmail.com     #697 282 835
Bol-Trans Usługi Transportowo-Sprzętowe Bolesław Makowski #         bol-transport@wp.pl     #661 117 641
Tromar Domy Drewniane #         tromar.domy@gmail.com     #692 118 402
Faser-Plast Poland Spółka z ograniczoną odpowiedzialnością #         info@faserplast.pl     #(59) 848 68 80
Smartline Silvestr Pashynski #         silvestrpasinskij@gmail.com     #576 637 879
Spawarium Wojciech Sobczak #         wojluk@poczta.fm     #501 031 861
Wiesław Jan Matej #         wieslawmatej@wp.pl     #603 938 591
Karol Damps Uslugi Ogólnobudowlane #         k.dinvestwork@gmail.com     #788 668 396
Skład Opału Carbo-Trans Węgiel o Kaloryczności Od 24 Do 29kj #         amrakowski@wp.pl     #517 503 643
Adro Hurtownia Art. Ściernych i Technicznych #         adrotczew@wp.pl     #605 449 807
Dalke Dariusz Usługi Ogólnobudowlane #         adi4180@wp.pl     #608 386 017
Epoks Dariusz Rosłoniec #         epoks@o2.pl     #600 939 615
Tomaszczyk I Synowie Magdalena Tomaszczyk, Piotr Liszniański s.c. #         p.tomaszczyk@tomaszczyk.net     #(59) 862 69 86
1. Michał Kondracki Wspólnik Spółki Cywilnej: Inwestmas 2. Uran Michał Kondracki #         inwestmas@gmail.com     #515 288 110
1. Żwirownia S.C. Tadeusz Bogdanowicz Mirosław Mąkosa Roman Bogdanowicz 2. Firma Transportowo Handlowo Usługowa Mirosław Mąkosa ##505 175 333
Abc Budownictwo Wojciech Zawół #         wojciech.zawol@onet.pl     #Oceń firmę i napisz o niej opinię:
&quot;Abud&quot; Zakład Ogólnobudowlany Marek Adamczewski #         abud1@wp.pl     #608 465 435
Adam Borowiec Uni - Press ##606 904 937
Adam Marzec #         robberto.chojnice@gmail.com     #Oceń firmę i napisz o niej opinię:
Adam Pietraszewski Usługi Stolarskie i Ogólnobudowlane #         adam.pietr.82@interia.pl     #Oceń firmę i napisz o niej opinię:
Adam Wrześniak Woodpecker #         adamwrzesniak@gmail.com     #728 229 095
Adam Wykland Wykland Adam Przedsiębiorstwo Handlowo-Usługowe &quot;Techno - Dom&quot; ##502 856 349
Ad-Bud Adam Jakubowski ##606 712 560
Adrian Adamczyk Adex #         adrian.adamczyk777@gmail.com     #Oceń firmę i napisz o niej opinię:
Adriano Fensterbau - Adrian Skwiercz #         michallichnowy11156@wp.pl     #Oceń firmę i napisz o niej opinię:
Agnecja Handlowa Aga-M S.C. Marcin Hetmański Urszula Hetmańska, Marta Hetmańska #         m.hetmanski@gmail.com     #(58) 300 56 04
&quot;AGO&quot; Leszek Jereczek ##601 064 850
Aku-Term Tomasz Wiśniewski ##(58) 669 74 03
Alix-Mar Alicja Markowska #         dominus.biuro@interia.pl     #Oceń firmę i napisz o niej opinię:
Alufrasta Jarosław Bronk #         jarekgda-19@o2.pl     #Oceń firmę i napisz o niej opinię:
Alumiko - Marek Mielewczyk #         marekmiel@poczta.fm     #661 973 259
&quot;Amplus&quot; System Zabudowy Wnęk Łukasz Taczała #         amplus@wp.pl     #607 400 399
Arbi Rafał Augustyn #         kope@kope.pl     #(58) 355 04 24
Aredo Design Michał Zając Marcin Szczupakowski S.C. #         bogdan@zubiel.pl     #Oceń firmę i napisz o niej opinię:
&quot;Argus&quot; Tomasz Brzoska Dariusz Koźlak ##(58) 661 44 42
Arkadiusz Hinc Sufit-Y #         arek.hinc@gmail.com     #504 237 151
Art Serwis Artur Bachanowicz ##695 704 070
AS Meble Andrzej Steć #         asmeble@onet.pl     #503 674 639
&quot;Astex&quot; S.C. Producent Tynków Szlachetnych i Klejów Budowlanych Marcin i Michał Puczyńscy #         michal@astex-tynki.pl     #Oceń firmę i napisz o niej opinię:
Auto-Myjnia Tadeusz Seyda #         biuro@sciagnijbruda.pl     #(58) 532 57 01
B i.G. - Zbigniew Żołądek #         zbigniewbig12@wp.pl     #Oceń firmę i napisz o niej opinię:
Bairi Sp. z o.o. #         bairi@bairi.pl     #500 100 780
Baks P.P.-U. Stanisław Kowalewski #         biuro@zwirownia.com.pl     #Oceń firmę i napisz o niej opinię:
&quot;Baks&quot; ZHUP Krzysztof Zając ##502 899 298
Baltex - Inżynieria i Górnictwo Morskie Sp. z o.o. ##(58) 699 48 10
Baltex Górnictwo Morskie Sp. z o.o. ##(58) 699 48 10
Baltic Promotion Karolina Ilinicz-Malina #         booking@balticsystem.pl     #509 665 602
Balustrady Polskie Paweł Wasilczuk #         wasilczukpawel@gmail.com     #Oceń firmę i napisz o niej opinię:
Barpan Sp. z o.o. ##888 630 940
&quot;Bartik&quot; Sklep ##(59) 822 55 69
Bartłomiej Kaszuba ##511 911 534
Bartłomiej Wilczewski #         bartwil2804@gmail.com     #519 345 812
Bartosz Szreder Treppe #         bartosz-szreder@wp.pl     #501 334 821
Bartus Meble Bartłomiej Dettlaff #         bdettlaff2002@wp.pl     #Oceń firmę i napisz o niej opinię:
BBC Bartłomiej Czyrkiewicz #         czyrkiewiczb@tlen.pl     #Oceń firmę i napisz o niej opinię:
Bercik Piotr Klawikowski ##693 181 178
&quot;Betkrusz Polska&quot; S.C. Zakłady Produkcyjne ##(58) 776 20 81
Bilbo-Północ Maria Wróblewska #         basiafirma@wp.pl     #Oceń firmę i napisz o niej opinię:
Black Oak Manufaktura Marcin Liebrecht #         kontakt@blackoakmanufaktura.pl     #513 878 252
Bogusław Nadrowski Zakład &quot;Stol-Met&quot; ##506 517 062
Bona Małgorzata Ptach #         m.ptach@bona.pl     #Oceń firmę i napisz o niej opinię:
&quot;Bramfix&quot; Kamil Słowiński #         bramfix@gmail.com     #606 875 337
&quot;Bramy Drzwi Rolety&quot; Adam Piekarski ##663 388 366
Brzeski Eugeniusz FHU B i P ##(58) 572 03 39
B&amp;S Salon Okien i Drzwi ##504 477 775
&quot;Budex&quot; Kreft Roman ##500 412 480
Budownictwo-W Piotr Beszczyński ##(58) 552 75 97
&quot;Bud-Rys&quot; Montaż Stolarki PCV Mirosław Bania Dariusz Gaffka #         gaffki@wp.pl     #(59) 863 16 06
Bysewo Sp. z o.o. #         chojnice@bysewo.pl     #609 296 092
Cancon Sp. z o.o. ##(58) 669 40 16
&quot;Cancon&quot; Sp. z o.o. Color House #         cancon@cancon.pl     #Oceń firmę i napisz o niej opinię:
Cedat Sp. z o.o. ##(58) 768 21 01
&quot;Cemex Polska&quot; Sp. z o.o. Żwirownia ##(58) 588 18 18
Centrum Klinkieru Schütz Sp.j. ##(58) 563 72 01
Ceramex Tomasz Siergiej #         tomek1151@interia.pl     #Oceń firmę i napisz o niej opinię:
Ceramika Stare Gronowo Anna Mikulska #         cerdach@op.pl     #603 305 086
Chmurzyński Sychta Sp. z o.o. Sp.K. ##665 229 636
DACH-SAM Mirosław Literski ##780 024 900
DACH-SAM Mirosław Literski #         zwirownia.dachsam@gmail.com     #780 024 900
Dam-Bud Damian Franc ##607 231 403
Damian Sosiński #         damian.junior@wp.pl     #506 150 832
Danuta Wiśniowska Fentech #         michalw72@o2.pl     #Oceń firmę i napisz o niej opinię:
Dariusz Czyżak Stolarka Budowlana #         darek.cz.91@wp.pl     #Oceń firmę i napisz o niej opinię:
Dawid Bogdał #         dawidbogdal91@gmail.com     #Oceń firmę i napisz o niej opinię:
Dawid Lemanczyk #         dl321@wp.pl     #Oceń firmę i napisz o niej opinię:
De Wysoccy PPUH Łukasz Wysocki #         de_wysoccy@op.pl     #600 756 848
Dekor XPS Producent Płyt Elewacyjnych Detale Architektoniczne #         biuro@dekorxps.pl     #661 222 410
&quot;Dekris&quot; Przedsiębiorstwo Remontowo-Budowlane Krzysztof Kowal #         dekris.kk@wp.pl     #502 025 306
Delta-Grand Sp. z o.o. #         ruslankulichenko1991@gmail.com     #500 593 411
Dms Granit Sp. z o.o. ##(22) 207 29 10
&quot;Domo&quot; Sp.j. ##(58) 344 19 59
&quot;Doorplast&quot; PHU Piotr Jażewicz #         biuro@vetrex.slupsk.pl     #(59) 866 24 31
Dopke Paweł Usługi Stolarskie #         pdopek@gmail.com     #(58) 736 14 44
&quot;Draf-Bud&quot; PW Dorota i Rafał Wąsowicz ##609 566 944
Drog-Trans Sp. z o.o. P.W. #         drog-trans@zipnet.com.pl     #(58) 562 07 48
&quot;Duet&quot; S.C. Firma Handlowo-Usługowa ##(55) 271 55 01
Durzyński Sławomir Usługi Posadzkarskie #         posadzkimaszynowe_sd@vp.pl     #515 188 201
Dzierzgońskie Konsorcjum Budowlane Sp. z o.o. #         dkbbiuro2@onet.pl     #(55) 276 26 83
Eco Blue Energy Sp. z o.o. ##665 087 753
Ekol-System Bis Piotr Groszewski #         piotr.groszewski@wp.pl     #Oceń firmę i napisz o niej opinię:
Ekspert-Bud Artur Mitskelevich #         kontakt@ekspert-bud.eu     #Oceń firmę i napisz o niej opinię:
&quot;Ema&quot; Piotr Szeliga #         ema.szeliga@gmail.com     #Oceń firmę i napisz o niej opinię:
&quot;Emendator&quot; PUH Grzegorz Borys #         jesiu1@wp.pl     #501 448 276
&quot;Ep Investment&quot; Sp. z o.o. ##504 435 390
Etna Sp. z o.o. #         y.kowal@wp.pl     #Oceń firmę i napisz o niej opinię:
&quot;Euromac&quot; Przedsiębiorstwo Produkcyjno-Handlowe ##(58) 665 58 58
&quot;Eurovia Polska&quot; S.A. Oddział ##(58) 307 41 50
Ewa Skalska Drzwi i Podłogi #         biuro@skalskapodlogi.pl     #Oceń firmę i napisz o niej opinię:
Fdinvest Filip Domaszk #         Fdomaszk@wp.pl     #783 559 877
FHU Andrzej Chiliński #         andrexokna@gmail.com     #510 110 024
FHU Daniel Gruchała ##(58) 686 24 37
F.H.U. Daniel Stenka #         daniel190783@interia.pl     #660 635 160
FHU Gabram Marian Tomaszewski ##501 022 320
FHU Profil Okna-Drzwi Adam Szafran #         adamo.szafran@gmail.com     #796 404 906
Fika Meble Krzysztof Sajdutko #         krzysiek.7702@op.pl     #509 949 568
&quot;Fima&quot; Maciej i Danuta Majewscy #         fima1@poczta.fm     #Oceń firmę i napisz o niej opinię:
Firma Handlu Opałem i Materiały Budowlane Klemens Cisłowski Transport Drogowy Ciężarowy ##(58) 623 00 38
Firma Remontowo-Wykończeniowa Krzysztof Jasiński #         wykon-wnetrz@wp.pl     #505 324 865
Firma Usługowa Adi-Bud Adrian Rakoczy #         adrian.rakoczy@o2.pl     #Oceń firmę i napisz o niej opinię:
Firma Usługowa &quot;Filip&quot; Karol Formella ##509 502 101
Firma Usługowa Maszk Tomasz Montaż i Serwis Stolarki Budowlanej i Bram #         unichowiak@gmail.com     #Oceń firmę i napisz o niej opinię:
Firma Usługowo-Montażowa Dariusz Stępiński #         darkman.22@wp.pl     #Oceń firmę i napisz o niej opinię:
Forhabitat-Aranżacja i Wyposażenie Wnętrz Ashrf Abouelola #         ashraf_projekt@o2.pl     #505 196 754
Formex Paweł Formela #         formex.com.pl@gmail.com     #511 771 199
Franciszek Adamczyk - Przedsiębiorstwo Handlowo-Usługowe ARTECH 2. Lip Tor S.C. ##(59) 821 81 35
Ftr Piotr Kurszewski #         ftr.kurszewski@gmail.com     #Oceń firmę i napisz o niej opinię:
FUH Bogdan Stańczak ##509 541 971
&quot;Gabrex&quot; P.P.H.U. #         gabrex@wp.pl     #(58) 687 38 28
&quot;Gabrex&quot; P.P.H.U. Gabriel Regliński ##(58) 681 84 78
Gabrex Sp. z o.o. w Organizacji ##(58) 685 70 90
&quot;Gaminex&quot; Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe #         gaminex@gaminex.com.pl     #(55) 279 46 68
Gars Usługi Stolarsko Budowlane Paweł Niemykin #         stolarz997@wp.pl     #Oceń firmę i napisz o niej opinię:
GD Drzwi Cezary Rossal #         magmar333@wp.pl     #Oceń firmę i napisz o niej opinię:
Gdyńskie Przedsiębiorstwo Handlowe Surtex Spółka z o.o. #         surtex@technotextil.pl     #(58) 667 45 00
&quot;Geosynt.pl&quot; Sp. z o.o. ##(58) 554 00 45
&quot;Ginter&quot; Sp. z o.o. Materiały Budowlane ##(52) 397 40 46
Gocek Patryk Przedsiębiorstwo Handlowo-Usługowe ##515 253 487
&quot;Golem Teresa Daroszewska Jarosław Janik Spółka Jawna&quot; #         biuro@golem.org.pl     #792 719 838
Górażdże Cement S.A. Stacja Przesypowa Cementu ##(58) 621 56 79
G.R. Grzegorz Jaskólski i Rafał Kocinski S.C. ##889 838 142
Grafit Hanna Kalinowska ##668 667 598
Gramant Dominik Zaremba #         biuro@gramant.pl     #690 888 854
Gravel Sp. z o.o. #         p.jankowski.gravel@gmail.com     #(58) 302 39 50
Gravel Sp. z o.o. Sp.k. ##(58) 302 39 50
Gregor Aleksandra Sabiecka #         aleksandra_sabiecka@wp.pl     #(58) 532 74 89
Grundmaster Jakub Walasek #         walasek.jakub@gmail.com     #886 149 454
Grunwald Grzegorz PHU #         grzegorzgrunwald12@wp.pl     #502 526 081
Grzegorz Karkowski Usługi Transportowe ##500 847 021
GTW Drekar Paweł Kasiarz ##(58) 531 15 61
Gutex Grzegorz Gutowski ##600 805 336
Handel i Minerały Nowak Sp. z o.o. Sp.k. #         wojciech.tecza@kruszywo.net     #509 342 371
&quot;Heniomeble&quot; Henryk Byczke #         henryk.byczke@gmail.com     #507 321 781
Henryk Hinc PHU Marbet ##502 305 558
Herrmann Serwis Mariusz Herrmann ##504 064 961
Hubertus Robert Piaskowski #         robert_hubertus@op.pl     #607 648 915
&quot;Hyd-Met&quot; Sp.j. ##(58) 681 96 82
&quot;Hyd-Met&quot; Sp.j. ##(58) 678 78 08
&quot;Hyd-Met&quot; Sp.j. #         hyd.met@vp.pl     #601 299 860
Ingresso Piotr Iwański #         spec.piotr@gmail.com     #Oceń firmę i napisz o niej opinię:
Iniciar Iuliia Iatskiv #         juliajackiw@interia.pl     #Oceń firmę i napisz o niej opinię:
Instalexpert Krzysztof Lasota ##663 881 414
Invest Jakra Północ Sp. z o.o. #         biuro@invest-jakra.pl     #Oceń firmę i napisz o niej opinię:
Invest-Luk Łukasz Kotlarek ##724 288 235
Jacek Marszałkowski Jes - Meble ##604 701 460
&quot;Janef&quot; Jan Fijałkowski #         janfij@o2.pl     #729 686 680
Janusz Richter Bis Sp. z o.o. ##531 102 777
Janusz Richter Sp. z o.o. #         januszrichter@wp.pl     #Oceń firmę i napisz o niej opinię:
Jar - Tap Jurand Itrich #         jurand1@autograf.pl     #Oceń firmę i napisz o niej opinię:
Jarosław Belka Jar-Kop ##501 272 153
Jarosław Wachnicki Jar-Bud #         jerry44@vp.pl     #Oceń firmę i napisz o niej opinię:
&quot;Jawor&quot; Firma Produkcyjno-Handlowa Waldemar Kozdryk ##(58) 322 15 71
Jaworski Paweł #         jaga004@wp.pl     #Oceń firmę i napisz o niej opinię:
JK Marine Jakub Kobyliński #         kobylinski.jakub@gmail.com     #Oceń firmę i napisz o niej opinię:
JTM Tomasz Szymański ##(59) 844 81 14
Jur-Pol FUH Jurek Kruszewski #         jurek-kruszewski@wp.pl     #798 866 667
&quot;J-W&quot; Sp. z o.o. ##(58) 562 40 58
Kada Damian Kraiński #         d.krainski@kada.slupsk.pl     #Oceń firmę i napisz o niej opinię:
Kamil Szumała #         zielony970@wp.pl     #Oceń firmę i napisz o niej opinię:
Kamilos Kamil Głuszek #         pati031@wp.pl     #Oceń firmę i napisz o niej opinię:
Kamynsky - Mariusz Kamiński ##608 598 752
Karo Piotr Kubiak ##570 071 400
Karol Narloch #         k.narloch5@wp.pl     #Oceń firmę i napisz o niej opinię:
&quot;Karol&quot; PHU Kurek Zbigniew #         karol.malbork@wp.pl     #504 023 121
Kateryna Savytska ##514 655 606
Kawalec Jacek Zakład Remontowo-Budowlany #         jacek690989@wp.pl     #608 506 629
Kazimierz Keller ##884 048 301
Killbud Usługi Ogólnobudowlane #         mielewczykkillbud@wp.pl     #691 357 355
&quot;Klink&quot; Maciej Piszcz #         klink.slupsk@onet.eu     #504 282 006
Klinker-Bau Sp. z o.o. #         biuro@klinker-bau.biz     #586 200 720
Komorowski Paweł Centrum Materiałów Elewacyjnych #         centrum-me@o2.pl     #(58) 671 09 85
Konspekt - Adam Młodzikowski #         biuro@konspekt.info.pl     #(58) 348 90 35
Kopalnia Piasku #         tombis48@interia.pl     #606 472 017
Kopalnie Kruszywa S.C W.Jelionek A.Nosowski ##501 524 035
Kopkrusz Sławomir Pałasz #         kopkrusz@wp.pl     #Oceń firmę i napisz o niej opinię:
Korell Sp. z o.o. ##508 258 103
Korzeniewski Czesław Usługi Ogólnobudowlane ##609 367 082
&quot;Koszałka&quot; Sp. z o.o. Przedsiębiorstwo Handlowo-Usługowe Oddział ##(58) 684 03 00
&quot;Koszałka&quot; Sp. z o.o. Przedsiębiorstwo Handlowo-Usługowe Oddział ##(58) 684 79 20
&quot;Koszałka&quot; Sp. z o.o. Przedsiębiorstwo Handlowo-Usługowe Oddział ##(59) 863 27 77
&quot;Koszałka&quot; Sp. z o.o. Przedsiębiorstwo Handlowo-Usługowe Oddział #         koszalka@koszalka.pl     #Oceń firmę i napisz o niej opinię:
&quot;Koszałka&quot; Sp. z o.o. Przedsiębiorstwo Handlowo-Usługowe Oddział ##(52) 397 12 80
&quot;Krencki&quot; Usługi Ogólnobudowlane Andrzej Krencki ##603 943 925
&#039;&#039;Krüger&#039;&#039; Czesław Krüger #         czeslawkruger001@gmail.com     #Oceń firmę i napisz o niej opinię:
Krisbau Krzysztof Kuhn #         biuro.kuhn@web.de     #Oceń firmę i napisz o niej opinię:
Krusz - Pol S.C. Iwona Fiedorowicz Krzysztof Puton #         biuro@krusz-pol.com.pl     #Oceń firmę i napisz o niej opinię:
&quot;Kruszbud&quot; S.C. ##(58) 684 30 14
Kruszywa Polskie S.A. ##(58) 686 34 27
Kruszywo Sp. z o.o. #         biuro@kruszywolinia.pl     #603 664 611
&quot;Kruszywo&quot; Sp. z o.o. Zakład Wydobywczy #         wabl@wp.pl     #Oceń firmę i napisz o niej opinię:
Krzysztof Drożdż #         biuro@topmeblekwidzyn.pl     #725 772 526
Krzysztof Kopischke Zoli #         krzysiu11999944@gmail.com     #Oceń firmę i napisz o niej opinię:
Krzysztof Krefft Profesjonalne Usługi Monterskie #         krzysztof.krefft@onet.pl     #Oceń firmę i napisz o niej opinię:
Krzysztof Zaleśny &quot;Zalesny&quot; ##514 088 175
Kuchnie Piechocki Jacek ##690 826 711
Kuga Meble Justyna Lewandowska #         szymonszafa@wp.pl     #503 019 595
Kummer Stanisław ##607 629 140
&quot;Kuźma100larz &quot; Marcin Kuźma #         marcinkuzma1105@wp.pl     #Oceń firmę i napisz o niej opinię:
&quot;Lafarge Kruszywa i Beton&quot; Sp. z o.o. Wytwórnia Betonu &quot;Wielopole&quot; ##(58) 766 88 44
Lawrenz Krzysztof Przedsiębiorstwo Handlowo-Usługowe #         lbk@vp.pl     #Oceń firmę i napisz o niej opinię:
&quot;Le Bagno&quot; 1. Stanisław Brzostek Wspólnik Spółki Cywilnej 2. Le Bagno Stanisław Brzostek Fornirowanie i Meble #         stanislaw.brzostek@gmail.com     #Oceń firmę i napisz o niej opinię:
Led-Gips Grzegorz Kaczmarek #         biuro@led-gips.pl     #604 821 909
Lenmat Mateusz Plichta #         mat.plichta@wp.pl     #Oceń firmę i napisz o niej opinię:
&quot;Levino-Trade&quot; Sp. z o.o. ##(59) 862 31 08
Lexign Dominik Gajewski #         d.t.gajewski@gmail.com     #502 945 353
&quot;Lider&quot; Rolety Żaluzje Piotr Kloskowski ##600 289 583
&quot;Łoń&quot; S.C. Przedsiębiorstwo Eksploatacji Kruszyw Naturalnych Michał Łoń Aleksander Łoń ##728 493 034
Łukasz Dornowski Bracia Dornowscy #         kontakt@braciadornowscy.pl     #661 537 304
Łukasz Kabus Jm-Bud #         lukaszt45@wp.pl     #512 338 048
Łukasz Nowak #         biuro@okno-serwis.com     #Oceń firmę i napisz o niej opinię:
Maciej Ossowski #         ossbud@gmail.com     #Oceń firmę i napisz o niej opinię:
&quot;Made In Home&quot; Michał Blaszke #         blachonix@live.com     #888 045 075
&quot;Mak-Chemia&quot; Sp.j. Firma Handlowo-Usługowa Hurtownia #         gdansk@makchemia.pl     #(58) 324 91 11
Mamut S.C. Kazimierz Sygiet Maciej Krajewski ##501 602 402
Marcin Geliński #         mgelinski1992@gmail.com     #Oceń firmę i napisz o niej opinię:
Marcin Król #         krol.okna.gfo@gmail.com     #Oceń firmę i napisz o niej opinię:
Marcin Szczupakowski #         martinspol@gmail.com     #Oceń firmę i napisz o niej opinię:
Marciński Mirosław Firma Usługowa #         marcinski.m@wp.pl     #509 523 012
Marczyk Roman Usługi Remontowo-Budowlane #         roman.marczyk@poczta.onet.pl     #(58) 686 14 49
Marek Barański Tanie Szafy ##512 474 651
Marek Bujak #         bujany.leon@wp.pl     #(58) 302 51 28
Marika Sp. z o.o. ##533 833 642
&quot;Mario&quot; Usługi Stolarskie Piotr Pobłocki ##505 507 268
&quot;Maritime Poland&quot; Sp. z o.o. #         maritime.poland@interia.pl     #(58) 307 45 71
Mariusz Ceynowa Usługi Remontowo-Budowlane #         mmwkr@o2.pl     #Oceń firmę i napisz o niej opinię:
Mariusz Jadczak PW Partner ##601 646 360
Marko Mariusz Kopczyński #         markogdansk@o2.pl     #605 150 322
Marzal Marek Zalewski #         borsukgd@wp.pl     #Oceń firmę i napisz o niej opinię:
Maskey Sp. z o.o. #         biuro@maskey.pl     #533 903 375
Maszrol Bis Sp. z o.o. ##(58) 588 18 29
Mat Bygg Mateusz Lubecki ##(59) 832 13 93
&quot;Mateja&quot; PHU Karol Mateja ##508 742 903
Materiały Budowlane Jolanta Próchnicka #         puhprabuty@wp.pl     #(55) 278 26 03
Mateusz Cichosz Sklep Spożywczo - Przemysłowy Materiały Budowlane #         mateuszcichosz1@gmail.com     #(58) 681 86 15
&quot;Max-Bud&quot; Hurtownia Ireneusz Wołk #         biuro@max-bud.2com.pl     #(59) 857 26 61
Maxceram Sp. z o.o. ##662 187 015
MB Wood Michał Bielawa #         michal-bielawa1@wp.pl     #Oceń firmę i napisz o niej opinię:
Mbi Sp. z o.o. ##(58) 684 72 87
Meble Pomorze Adam Biskup ##728 986 405
Meble Ventuno Dominik Jaśkiewicz #         dominik.jakiewicz@wp.pl     #Oceń firmę i napisz o niej opinię:
Meble w Dziesiątkę Uladzimir Kavaleuski #         meblew10@gmail.com     #502 073 502
Meblo-Projekt Jarosław Bieszk ##500 224 189
Meblov Marcin Paśnik #         marcin.pasnik@onet.eu     #518 170 471
Mebmit Olaf Stolc #         szibak@gmail.com     #Oceń firmę i napisz o niej opinię:
Meko Grzegorz Mejka #         grzegorzmejka@poczta.onet.pl     #512 312 424
&quot;Metal-Dom&quot; S.C. J. Bach H. Gudalewski Handel Artykułami Przemysłowymi #         jadwiga.bach@wp.pl     #(58) 623 67 19
Michał Chmurzyński PHU #         chmura-borowiec@wp.pl     #668 278 189
Michał Michalski Usługi Rem-Bud #         uslugirembudchojnice@wp.pl     #Oceń firmę i napisz o niej opinię:
&quot;Michał&quot; Przedsiębiorstwo Eksploatacji Kruszywa Naturalnego Michał Treder #         ptmt@o2.pl     #605 888 333
Michał Skwiercz #         michallichnowy11156@wp.pl     #Oceń firmę i napisz o niej opinię:
Miotk Sławomir S &amp; M ##502 250 617
Mirosław Andrzejewski #         tczew2@o2.pl     #695 967 049
Mirosław Rosiński Mirosław Rosiński ##(55) 279 49 21
&quot;Mojan&quot; Przedsiębiorstwo Handlowo-Usługowe Jan Grunwald ##505 706 320
Mont-Ar Artur Lewandowski #         arturlevy1@o2.pl     #Oceń firmę i napisz o niej opinię:
Monter Plus Jakub Chyrek #         kubaocp@wp.pl     #Oceń firmę i napisz o niej opinię:
Monters Natalia Chwil #         okna@okna.eu.pl     #(58) 678 13 67
Monters Okna Sp. z o.o. #         biuro@okna.com.pl     #Oceń firmę i napisz o niej opinię:
M+Q #         gdynia@mqpolska.pl     #(58) 727 01 01
MS Słupsk II Jarosław Pukiełko #         aureliusz40@wp.pl     #(59) 841 30 72
MS Słupsk Zygmunt Machtyl ##888 692 189
Ms-Prof Michał Stolc #         mikaelstolc@gmail.com     #Oceń firmę i napisz o niej opinię:
MY Furniture Mariusz Uzdrowski #         maromax1@wp.pl     #Oceń firmę i napisz o niej opinię:
Nikonel Meble Marcin Jankowski #         jankim@wp.pl     #Oceń firmę i napisz o niej opinię:
Nord Service Andrzej Gawrychowski #         andrzejgaw@poczta.onet.pl     #602 614 544
&quot;Nordkam&quot; Sp. z o.o. ##(58) 627 48 64
&quot;Oknoplaza&quot; FHU Przemysław Dawidowski ##(58) 678 21 92
Oliwer Krystian Olszewski ##691 517 995
Ol-Trans Kruszywa Sp. z o.o. ##(58) 673 66 55
Omen Krzysztof Okmen Usługi Ogónobudowlane #         omen_krzysztof@o2.pl     #Oceń firmę i napisz o niej opinię:
Oskar Kałużny #         oskarkaluzny88@wp.pl     #Oceń firmę i napisz o niej opinię:
Parblat Piotr Falow #         parblat@op.pl     #(58) 347 52 99
Paweł Klasa #         p.klasa@wp.pl     #601 211 744
Pek Aleksandra ##691 321 122
&quot;Pema&quot; S.C. Firma Handlowo-Usługowa Edward Piepiórka Andrzej Miesikowski #         ampema@op.pl     #601 842 268
