Medyczna Przychodnia ##(32) 370 24 14
Lar-Med Nzoz #         nzozlarmedzywiec@gmail.com     #(33) 860 26 63
Niepubliczny Zakład Opieki Zdrowotnej Eskulap #         nzozeskulap@wp.pl     #(32) 766 59 06
Niepubliczny Zakład Opieki Zdrowotnej Frk Homograft Sp. z o.o. ##(32) 373 56 70
Niepubliczny Zakład Opieki Zdrowotnej Genom ##(32) 244 46 63
Niepubliczny Zakład Opieki Zdrowotnej Genom #         genom@genom.pl     #(32) 244 46 63
Niepubliczny Zakład Opieki Zdrowotnej Grupowa Praktyka Lekarska S.C. Batorowska Kubienna Barbara Pietrzak Magdalena ##(33) 856 94 29
Niepubliczny Zakład Opieki Zdrowotnej J. i L. Rybak Sp.j. #         leszekrybak@o2.pl     #(32) 476 44 45
Niepubliczny Zakład Opieki Zdrowotnej J. i L. Rybak Sp.j. ##(32) 473 67 29
Niepubliczny Zakład Opieki Zdrowotnej Kaczmarczyk, Rak i Partnerzy - Lekarze Sp. P. ##(32) 431 50 81
Niepubliczny Zakład Opieki Zdrowotnej Laboratorium Analiz Medycznych Eugeniusz Biront #         laboratorium@biront.bielsko.pl     #(33) 815 70 23
Niepubliczny Zakład Opieki Zdrowotnej Lecznica Imienia Świętego Łazarza ##(32) 419 08 88
Niepubliczny Zakład Opieki Zdrowotnej Lekarz Rodzinny Sp. z o.o. ##(33) 861 20 53
Niepubliczny Zakład Opieki Zdrowotnej Medicare Sp. z o.o. ##(32) 767 56 02
Niepubliczny Zakład Opieki Zdrowotnej Medicor Spółka z o.o. #         medicor@medicor.rybnik.pl     #(32) 422 02 77
Niepubliczny Zakład Opieki Zdrowotnej Medicus S.C. Zespół Lekarskich Poradni Specjalistycznych #         mediccus24@interia.pl     #(32) 281 19 92
Niepubliczny Zakład Opieki Zdrowotnej Medipoz Sp. z o.o. ##(32) 431 28 83
Niepubliczny Zakład Opieki Zdrowotnej Medipoz Sp. z o.o. #         medipoz@poczta.fm     #(32) 421 10 16
Niepubliczny Zakład Opieki Zdrowotnej Med-Orzeł Sp. z o.o. #         med.orzel.bytom@poczta.fm     #(32) 387 76 33
Niepubliczny Zakład Opieki Zdrowotnej Moja Poradnia Sp. z o.o. #         wawar@poczta.onet.pl     #(32) 285 48 65
Niepubliczny Zakład Opieki Zdrowotnej Monar Ośrodek Rehabilitacyjno-Readaptacyjny #         biuro@monar.com.pl     #(34) 323 45 08
Niepubliczny Zakład Opieki Zdrowotnej Novo-Med Centrum Profilaktyki i Lecznictwa J. Garus-Kmieć Sp.j. #         nzoznovomed@gmail.com     #(34) 317 35 41
Niepubliczny Zakład Opieki Zdrowotnej Ośrodek Zdrowia ##(34) 355 40 18
Niepubliczny Zakład Opieki Zdrowotnej Ośrodek Zdrowia ##(32) 287 80 17
Niepubliczny Zakład Opieki Zdrowotnej Poradnia ##(33) 854 15 12
Niepubliczny Zakład Opieki Zdrowotnej Poradnia Alergologiczna i Pulmonologiczna dla Dzieci i Młodzieży #         alergologia3@wp.pl     #(33) 858 20 46
Niepubliczny Zakład Opieki Zdrowotnej Poradnia Kardiologiczna ##(32) 271 18 56
Niepubliczny Zakład Opieki Zdrowotnej Poradnia Ogólna ##(34) 354 75 08
Niepubliczny Zakład Opieki Zdrowotnej Poradnia Ogólna #         spolem.raciborz@vp.pl     #(32) 415 30 21
Niepubliczny Zakład Opieki Zdrowotnej Poradnia RejonowoSpecjalistyczna Medicus Sp. z o.o. #         nzoz-lazy@wis.pl     #(32) 710 33 69
Niepubliczny Zakład Opieki Zdrowotnej Poradnie Specjalistyczne S.C. Piotr Buczko Janina Lewandowska Marek Wojtacha ##(33) 853 32 53
Niepubliczny Zakład Opieki Zdrowotnej Praktyka Lekarza Rodzinnego ##(32) 267 05 50
Niepubliczny Zakład Opieki Zdrowotnej Praktyka Lekarza Rodzinnego Specjalistyczna i Medycyny Pracy ##(32) 729 40 68
Niepubliczny Zakład Opieki Zdrowotnej Pro Vita Sp. z o.o ##(32) 423 03 01
Niepubliczny Zakład Opieki Zdrowotnej Profimed S.C. Poradnia Endokrynologiczna #         zbigniew.mezyk@op.pl     #(32) 470 97 10
Niepubliczny Zakład Opieki Zdrowotnej Profimed S.C. Poradnia Logopedyczna ##(32) 476 45 82
Niepubliczny Zakład Opieki Zdrowotnej Pruchna-Drogomyśl ##(33) 857 35 87
Niepubliczny Zakład Opieki Zdrowotnej Pruchna-Drogomyśl #         alkru@esculap.pl     #(33) 857 21 11
Niepubliczny Zakład Opieki Zdrowotnej Prywatna Opieka Stomatologiczno-Lekarska ##(32) 284 07 52
Niepubliczny Zakład Opieki Zdrowotnej Przychodnia #         pogkon@poczta.onet.pl     #(33) 474 03 99
Niepubliczny Zakład Opieki Zdrowotnej Przychodnia Chorób Płuc i Gruźlicy Pulmed Sp. z o.o. ##(32) 271 46 67
Niepubliczny Zakład Opieki Zdrowotnej Przychodnia Eskulap Sp. z o.o. ##(32) 231 32 31
Niepubliczny Zakład Opieki Zdrowotnej Przychodnia Lekarska ##(34) 328 80 26
Niepubliczny Zakład Opieki Zdrowotnej Przychodnia Lekarska ##(34) 328 01 65
Niepubliczny Zakład Opieki Zdrowotnej Przychodnia Lekarska ##(32) 451 21 52
Niepubliczny Zakład Opieki Zdrowotnej Przychodnia Lekarska ##(34) 355 50 11
Niepubliczny Zakład Opieki Zdrowotnej Przychodnia Lekarska ##(34) 355 52 55
Niepubliczny Zakład Opieki Zdrowotnej Przychodnia Lekarska Med Mydlice S.C. Błażejak Okas Porębska Kaim Ślawska Domin ##(32) 262 13 41
Niepubliczny Zakład Opieki Zdrowotnej Przychodnia Lekarska Południe #         przemek@przychodniapoludnie.pl     #(34) 323 21 53
Niepubliczny Zakład Opieki Zdrowotnej Przychodnia Lekarska Spółdzielczość #         nzoz@zeto.czest.pl     #(34) 374 06 81
Niepubliczny Zakład Opieki Zdrowotnej Przychodnia Lekarska Spółdzielczość Poradnia Ogólna #         nzoz@zeto.czest.pl     #(34) 374 06 81
Niepubliczny Zakład Opieki Zdrowotnej Przychodnia Lekarska Vena S.C. Krystyna Pedryc, Maria Tarasek-Rygałło ##(34) 329 53 52
Niepubliczny Zakład Opieki Zdrowotnej Przychodnia Medycyny Rodzinnej ##(34) 313 10 01
Niepubliczny Zakład Opieki Zdrowotnej Przychodnia Medycyny Rodzinnej #         przychodnia6@wp.pl     #(34) 328 10 63
Niepubliczny Zakład Opieki Zdrowotnej Przychodnia Nadrzeczna Sp. z o.o. ##(34) 324 12 92
Niepubliczny Zakład Opieki Zdrowotnej Przychodnia nr 2 ##(32) 327 00 92
Niepubliczny Zakład Opieki Zdrowotnej Przychodnia Vita Sp. z o.o. Poradnia Ogólna ##(33) 811 85 67
Niepubliczny Zakład Opieki Zdrowotnej Przychodnia Wielospecjalistyczna nr 1 #         jedynka55@wp.pl     #(32) 233 20 06
Niepubliczny Zakład Opieki Zdrowotnej S.C. Praktyka Lekarska #         brema1@wp.pl     #(33) 853 63 11
Niepubliczny Zakład Opieki Zdrowotnej S.C. Przychodnia Lekarska 4 ##(32) 264 50 43
Niepubliczny Zakład Opieki Zdrowotnej Sp. z o.o. Przychodnia Lekarska ##(34) 362 72 12
Niepubliczny Zakład Opieki Zdrowotnej Sp. z o.o. Przychodnia Lekarska #         marta-sw@tlen.pl     #(34) 320 20 30
Niepubliczny Zakład Opieki Zdrowotnej Sp. z o.o. Przychodnia Lekarska Księżycowa ##(34) 361 47 76
Niepubliczny Zakład Opieki Zdrowotnej Sp. z o.o. Przychodnia Lekarska Wrzosowiak #         zozorkana@data.pl     #(34) 363 46 34
Niepubliczny Zakład Opieki Zdrowotnej Specjalistyczne Poradnie Lekarskie S.C. Dorota Wojtachnio Artur Wojtachnio ##(34) 361 02 91
Niepubliczny Zakład Opieki Zdrowotnej Sp.p. Lekarzy E. Kozubski L. Romańska-Kozubska M. Guzek #         susmed@poczta.onet.pl     #(32) 448 87 51
Niepubliczny Zakład Opieki Zdrowotnej Traf-Med Klinika Jednego Dnia #         traf-med@wp.pl     #(32) 253 75 74
Niepubliczny Zakład Opieki Zdrowotnej Twój Lekarz  S.C. ##(32) 415 64 64
Niepubliczny Zakład Opieki Zdrowotnej Ubezpieczalnia Sp. z o.o. ##(32) 215 32 41
Niepubliczny Zakład Opieki Zdrowotnej Ultrasonografia Sp. z o.o. #         ultrasonografia@poczta.fm     #(32) 672 73 39
Niepubliczny Zakład Opieki Zdrowotnej Ultrasonografia Sp. z o.o. ##(32) 672 73 39
Niepubliczny Zakład Opieki Zdrowotnej w Kruszynie Sp. z o.o. Poradnia Ogólna #         martasitek@tlen.pl     #(34) 320 20 30
Niepubliczny Zakład Opieki Zdrowotnej w Pogwizdowie Hanna Brzózka-Mikołajczyk, Robert Czyż, Dorota Zamora Sp. J. ##(33) 474 03 39
Niepubliczny Zakład Opieki Zdrowotnej Wiejski Ośrodek Zdrowia ##(32) 472 35 04
Niepubliczny Zakład Opieki Zdrowotnej Zakład Pulmonologii Sp. z o.o. #         sekretariat@pulmo.pl     #(32) 285 60 06
Niepubliczny Zakład Opieki Zdrowotnej Zgoda ##(32) 345 22 00
Niepubliczny Zakład Opieki Zdrowotnej-Laboratorium Analityczne - Elżbieta Gregorczyk ##601 810 083
Niepubliczny Zakład Protetyki Stomatologicznej Mocko Urszula ##(32) 431 58 33
Niepubliczny Zespół Opieki Zdrowotnej Jakubiec Sp.j. ##(34) 313 09 63
Niepubliczny Zespół Opieki Zdrowotnej Medican Anna Gołba ##(32) 201 12 37
Niewiadomski Andrzej Pracownia Protetyczna ##501 486 165
Niwecka-Walcownia Przychodnia Rejonowa NZOZ #         biuro@niwecka-walcownia.sosnowiec.pl     #(32) 266 30 32
NOVA 4 Sp. z o.o. Przychodnia Lekarska #         nova_4@op.pl     #(32) 281 47 10
Nova S.C. Beata Kaniowska NZOZ Przychodnia Stomatologiczna #         nzoznova@poczta.onet.pl     #501 515 477
Novamed Joanna Nowak #         novamed@onet.pl     #882 428 196
NovaMed NZOZ #         novamed@neostrada.pl     #(32) 259 90 31
Novomed Specjalistyczna Przychodnia Lekarska ##(34) 366 31 90
Novum-Med Sp. z o.o. ##602 737 205
Novum-Med Sp. z o.o. Sp. K. #         rejestracja@novum-med.pl     #(32) 440 77 51
Nowa Radiologia S.C. Niepubliczny Zakład Opieki Zdrowotnej #         nowaradiologia@wp.pl     #(32) 264 33 80
Nowak Jolanta Pracownia Protez Zębowych ##(32) 241 24 61
Nowiny Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej ##(32) 422 40 79
Nowmed Dariusz Nowakowski #         dariusznowakowski@poczta.fm     #Oceń firmę i napisz o niej opinię:
Nowomed Specjalistyczne Centrum Medyczne Renata Drapała #         nowomed@nowomed.pl     #(33) 822 33 46
NSZOZ EŁ-MED ##(32) 267 11 40
Nszoz Mar-Med Sp. z o.o. ##(32) 211 94 61
NszzSolidarność przy Samodzielnym Publicznym Szpitalu Klinicznym Nr.7 Górnośląskie Centrum Med. Śl. Akademii Medycznej ##798 019 447
Nur - Med Stanisław Piechowiak ##(32) 285 57 82
Nutrimed Niepubliczny Zakład Opieki Zdrowotnej Górny Śląsk ##(32) 229 80 50
N.Z.D.L. Centralne Laboratorium Analityczne dr n. med. Grażyna Kasprzyk ##(32) 271 38 43
N.Z.D.L. Centralne Laboratorium Analityczne dr n. med. Grażyna Kasprzyk #         gjpkasprzyk@poczta.onet.pl     #(32) 271 38 43
NZOS Praktyka Lekarzy Rodzinnych Zdrowa Rodzina Sp. z o.o. ##(32) 266 44 95
NZOZ - Stomatologia Agata Roztoczyńska #         gabinet@roztoczynska.pl     #(33) 816 64 73
NZOZ Adamedica Poradnia Lekarza Rodzinnego i Gabinety Specjalistyczne Barbara Adamus-Sibik Sp.j. #         nzoz_plr@op.pl     #602 583 793
NZOZ Agmed Uroda Lekarz Jadwiga Szkaradek #         jszkaradek@interia.pl     #606 359 210
NZOZ Almed Alina Gwóźdź ##(32) 278 69 67
NZOZ Animed Anna Lebek-Ordon Sp.j. ##(32) 285 57 61
NZOZ Audiofonika dr n. med. Przemysław Śpiewak #         audiofonika@o2.pl     #(33) 496 53 50
NZOZ Bif-Med Mariola Roykiewicz ##(32) 281 07 18
NZOZ Bi-Med Apteka Leśna Sp. z o.o. ##(32) 381 75 80
NZOZ Centrum Lekarskie Alfa Sp. j. Ryszard Sędziak i Wspólnicy #         bielsko@alfamedycyna.pl     #(33) 857 29 50
NZOZ Centrum Medyczne Reden Mayo-Dent B.R.A. Maj S.C. #         reden@reden.com.pl     #(32) 264 21 08
NZOZ Centrum Medyczne Wigor Sp. z o.o. ##(32) 271 03 18
NZOZ Centrum Stomatologii Dental Panda Urszula Szulińska ##797 424 880
NZOZ Centrum Zdrowia Medikard Dariusz Puszczewicz ##(32) 265 00 45
NZOZ Dermedical Dr N.Med.Zbigniew Gruszka ##(32) 204 34 98
NZOZ Endokrynologia Bielska Iwona Koperska ##(33) 822 21 62
NZOZ Energomontaż Chorzów #         finanse@energomontazchorzow.pl     #(32) 241 02 00
NZOZ Epione Przychodnia nr 1 ##(32) 206 40 68
NZOZ Epione Przychodnia nr 2 #         epione@epione.pl     #(32) 204 64 70
NZOZ Epione Przychodnia nr 3 ##(32) 254 54 34
NZOZ Epione Przychodnia nr 4 ##(32) 255 70 35
NZOZ Esti Clinic Tatiana Jasińska Krzysztof Jasiński S.C. ##608 315 947
NZOZ Eurodent S.C. Aneta Grzyb ##(32) 677 32 00
NZOZ Eurodent S.C. Marcin Grzyb ##(32) 677 32 00
NZOZ Euro-Med Sp. z o.o. #         odanka@poczta.fm     #(32) 768 03 99
NZOZ Falmed B.Falkowska J.Falkowski Sp.j. ##(32) 215 81 93
NZOZ Go- Dent Godzisz Grzegorz #         ggrzes1971@op.pl     #(32) 209 36 66
NZOZ Grupowa Praktyka Lekarzy Rodzinnych Ewanmed Andrzej Waniek #         ewanmed@poczta.onet.pl     #(32) 203 69 94
NZOZ Grupowa Praktyka Lekarzy Rodzinnych Ewanmed Ewa Łowińska-Ogonowska ##694 606 353
NZOZ i Medycyny Sportowej Cor Et Vasa #         pbuszman@ka.onet.pl     #(32) 209 48 89
NZOZ Integrum Przemysław Drozd i Wspólnicy Sp.j. ##(32) 433 24 42
NZOZ Junior R.Szubra J.Sekulska G.Mazur Sp.j. ##(32) 422 71 51
NZOZ Krom-Med Maślany Danuta #         Krom_med@interia.pl     #(32) 672 43 40
NZOZ Laboratoria Medyczne Diagnostyka ##(34) 320 49 86
NZOZ Laboratoria Medyczne Diagnostyka Częstochowa ##(34) 370 24 42
NZOZ Laboratoria Medyczne Diagnostyka Częstochowa ##(34) 370 26 01
NZOZ Laboratoria Medyczne Diagnostyka Częstochowa ##(34) 370 22 18
NZOZ Laboratoria Medyczne Diagnostyka Częstochowa ##(34) 370 24 43
NZOZ Laboratorium Analityczne Violetta Słapa-Uznańska #         labryb@wp.pl     #Oceń firmę i napisz o niej opinię:
NZOZ Laboratorium Analiz Lekarskich S.C. Pasja ##(34) 365 65 04
NZOZ Laboratorium Analiz Lekarskich S.C. Pasja #         laboratorium_pasja@vp.pl     #(34) 365 65 04
NZOZ Laboratorium Mikrobiologiczne Elżbieta Sławomir Słabisz #         eslaboratorium@gmail.com     #501 598 928
NZOZ Laboratorium Mikrobiologii Ewa Tomanek ##(32) 735 75 81
NZOZ Leczenie i Rehabilitacja #         wtzchorzow@o2.pl     #(32) 348 25 45
NZOZ Lekarska Praktyka Grupowa S.C. ##(33) 853 32 83
NZOZ Lekarz Rodzinny Andrzej Sieroń ##728 954 975
NZOZ Lumo-Med Piotr Możdżeń Marek Ludwikowski Sp.j. ##(32) 262 80 32
NZOZ LUPUS Białożyt i S-ka Sp.j. ##(32) 451 17 67
NZOZ Lupus Sp. z o.o. ##(32) 451 16 76
NZOZ Łękawica Praktyka Grupowa Lekarzy S.C. z Siedzibą w Gilowicach ##(33) 865 17 65
NZOZ Łękawica Praktyka Grupowa Lekarzy S.C. z Siedzibą w Gilowicach ##(33) 865 30 05
NZOZ Łękawica Praktyka Grupowa Lekarzy S.C. z Siedzibą w Gilowicach #         2402071@zoz.org.pl     #Oceń firmę i napisz o niej opinię:
NZOZ Macula Mirella Jaksz Sp.j. ##(32) 288 20 28
NZOZ Med - Koz Indywidualna Specjalistyczna Praktyka Lekarska Krzysztof Dąbrowski ##(33) 444 69 50
NZOZ Medhd Sp. z o.o. #         biuro@medhd.pl     #698 093 900
NZOZ Medica ##(32) 241 38 65
NZOZ Medica 2000 Sp. z o.o. ##(33) 861 03 86
NZOZ Medicus S.C. Jolanta Smoliło-Żabińska Konrad Żabiński Stanisław Żabiński #         medicusjsz@poczta.onet.pl     #(32) 616 54 17
NZOZ Medi-Spatz Michalina Spatz ##(32) 335 30 15
NZOZ Medix Dariusz Oleś ##(32) 216 78 38
NZOZ Med-Vox Leśniewscy Spółka Jwana #         med-vox@med-vox.pl     #(32) 206 00 00
NZOZ Metkur L-P ##(33) 822 18 69
NZOZ Metkur L-P ##(33) 812 22 09
NZOZ Mikołowskie Centrum Usług Medycznych Med-Mikołów Sp. z o.o. #         biuro@med-mikolow.pl     #(32) 322 43 09
NZOZ Nasza Przychodnia ##(32) 355 95 10
NZOZ Nasza Przychodnia Niepubliczny Zakład Opieki Zdrowotnej #         biuro@nasza-przychodnia.pl     #Oceń firmę i napisz o niej opinię:
NZOZ Novia Med ##(32) 772 55 87
NZOZ OmegaMed #         omegamed@interia.pl     #(32) 672 95 12
NZOZ Osmed Przychodnia Programu Max Medicum ##(32) 245 41 80
NZOZ Ośrodek Adaptacyjny Bernadeta Wiśniowska Sp.j. ##(32) 240 90 88
NZOZ Ośrodek Pielęgniarstwa Pomoc w Zdrowiu i w Chorobie Sp. z o.o. ##(32) 242 17 00
NZOZ Paj-Med Tadeusz Pająk #         okomed@poczta.onet.pl     #Oceń firmę i napisz o niej opinię:
NZOZ Pediatryczne Centrum Zabiegowe Sp.J. M. M. Gwinner ##(33) 816 44 44
Nzoz Piątka Sp. z o.o. ##322 857 855
NZOZ Pierściec S.C ##(33) 853 34 65
NZOZ Poliklinika Dąbrowska ##(32) 639 01 01
NZOZ Poradnia Chorób Płuc Sp. z o.o. ##519 586 766
NZOZ Poradnia Lekarska Plus S.C. ##(32) 299 93 29
NZOZ Poradnia Rehabilitacji Róża Pisarczyk Sp.j. ##(32) 766 04 80
NZOZ Poradnia Schorzeń Naczyń Angiosan Andrzej Danik Katarzyna Danik Sp.j. #         angiosan@op.pl     #(32) 370 17 79
NZOZ Praktyka Lekarza Rodzinnego Kiwic Grzegorz ##(32) 476 04 29
NZOZ Praktyka Rodzinna Joanna Śliwka ##(33) 858 64 38
NZOZ Primus Jolanta Gąsior ##(32) 220 11 76
NZOZ Promed Sp. z o.o. ##(32) 285 72 79
NZOZ Promed Sp. z o.o. w Tąpkowicach Filia #         msokola@wp.pl     #(32) 285 71 93
NZOZ przy Salezjańskim Ośrodku Szkolno-Wychowawczym ##(32) 393 23 65
NZOZ Przychodnia Akademicka Stanisław Bochenek Sp.j. #         stanislawbochenek@wp.pl     #(33) 851 47 07
NZOZ Przychodnia Ginekologiczno-Endokrynologiczna Jacek Magierowski Sp.j. ##501 716 526
NZOZ Przychodnia Lecznictwa Ambulatoryjnego Esculap Barbara Malordy-Kryczek ##(32) 326 94 98
NZOZ Przychodnia Lekarska ##(34) 328 52 34
NZOZ Przychodnia Lekarska Medicus S.C. ##602 173 532
NZOZ Przychodnia Lekarska Medyk Sp. z o.o. ##(34) 356 56 90
NZOZ Przychodnia Lekarska Piastowska-Med ##(34) 365 84 24
NZOZ Przychodnia Lekarska Rudnicka-Tynior Violetta ##(32) 760 15 05
Nzoz Przychodnia Lekarska Sp. z o.o. ##(34) 366 95 26
NZOZ Przychodnia Lekarska Unimed Sp. z o.o. ##(32) 275 03 82
NZOZ Przychodnia Medycyny Rodzinnej Poradnia Medycyny Rodzinnej #         pmr@itware.pl     #(32) 644 90 52
NZOZ Przychodnia Medycyny Rodzinnej Tormed Sp. z o.o. ##(34) 353 14 44
NZOZ Przychodnia Rejonowo-Specjalistyczna Na Cedlera Sp. z o.o. ##(32) 268 58 56
NZOZ Przychodnia Stomatologiczno-Medyczna Eskulap-Med Grzybowski Janusz Grzybowska Ewa S.C. #         janusz.grzybowski@onet.eu     #693 116 376
NZOZ Przychodnia Wielospecjalistyczna Sp. z o.o. ##(32) 769 13 85
NZOZ Rehavit ##(32) 608 76 25
N.Z.O.Z. Rentgenodiagnostyka-Med #         iwonatabin@rentgenodiagnostyka.com.pl     #(32) 348 12 20
NZOZ Revital Kardiologia #         kardiologia@revital.com.pl     #(32) 209 12 51
NZOZ Rezonans ##(41) 230 20 10
NZOZ Rodzinna Służba Zdrowia Gmin-Med Sp. z o.o. ##(32) 287 41 96
NZOZ Rodzinna Służba Zdrowia Gmin-Med Sp. z o.o. ##(32) 287 78 70
NZOZ Ruptawa J.Świecik-Augustyniak R.Augustyniak Sp.j. #         ruptawa@interia.pl     #(32) 471 73 39
NZOZ Salus Wojciech Śliwiński #         wojciechsliwinski@wp.pl     #Oceń firmę i napisz o niej opinię:
NZOZ Sigma Wielospecjalistyczna Poradnia Lekarska Krzysztof Szczechowski #         szczechowski@onet.eu     #(32) 286 52 71
NZOZ Specjalistyczne Centrum Medyczne Gindent. Wacław Kasza ##601 051 442
NZOZ Specjalistyczne Usługi Medyczne Clinica Medica S.C. ##(33) 816 84 54
NZOZ Stomadent Monika Czenczek-Kołodziej ##(32) 216 23 74
NZOZ Stomatologia Dziś i Jutro Sp. z o.o. #         stomatologiadzisijutro@wp.pl     #668 003 785
NZOZ SUM Clinica Medica S.C. ##(32) 218 21 21
NZOZ Super Medica Sp. z o.o. ##(58) 530 40 21
NZOZ Terapia Optima Bogusław Okopień ##601 448 293
NZOZ Tomograf Cieszyn Sp. z o.o. ##(33) 851 35 90
NZOZ Twoje Zdrowie ##795 114 464
NZOZ Uromedicus Tadeusz Dzióba Elżbieta Wyrwas Sp.j. ##(32) 274 85 05
NZOZ VITA-MED ##(32) 245 47 16
NZOZ Wiejski Ośrodek Zdrowia Poradnia Podstawowej Opieki Zdrowotnej ##608 511 957
NZOZ Zdrowie Gabinet Lekarski Gawlik Radosław ##661 624 317
NZOZ Zespół Medyczno - Opiekuńczy Alicja Kluczna ##(32) 261 52 80
Obsługa Urządzeń Medycznych Radosław Lofek #         oum@op.pl     #Oceń firmę i napisz o niej opinię:
Ocdb Izabela Wodzisławska #         iwodzislawska@gmail.com     #Oceń firmę i napisz o niej opinię:
Ochotnicza Straż Pożarna Dąbrowa Górnicza - Śródmieście ##501 706 208
Oddział Dzienny Zaburzeń Nerwicowych ##(33) 811 65 45
Oddział Psychiatryczny Ogólny ##(33) 814 92 67
Ogólnopolski Związek Zawodowy Techników Medycznych Radioterapii #         ozztmr@ozztmr.pl     #Oceń firmę i napisz o niej opinię:
Ogólnopolski Związek Zawodowy Techników Medycznych Radioterapii Regionalno Ośrodkowe Koło Gliwice ##660 288 209
Oko i Okulary - S.C. Żaneta Wawerska Tomasz Galisz ##(32) 471 24 03
Oko Land Agnieszka Gorzawska #         okolandoptyk@gmail.com     #Oceń firmę i napisz o niej opinię:
Okomed S.C. Galuba-Dębska Ilona Niepubliczy Zakład Opieki Zdrowotnej #         serys@op.pl     #Oceń firmę i napisz o niej opinię:
Okręgowy Szpital Kolejowy ##(32) 252 31 21
Okręgowy Szpital Kolejowy ##801 984 040
Okręgowy Szpital Kolejowy Oddział Chirurgii Ogólnej z Pododdziałem Chirurgii Metabolicznej i Bariatrycznej ##(32) 605 35 64
Okręgowy Szpital Kolejowy Oddział Chorób Wewnętrznych ##(32) 605 35 82
Okręgowy Szpital Kolejowy Oddział Ginekologii Onkologicznej, Ogólnej i Położnictwa ##(32) 605 35 70
Okręgowy Szpital Kolejowy Oddział Neonatologiczny ##(32) 605 35 73
Okręgowy Szpital Kolejowy Oddział Neurologiczny ##(32) 605 35 77
Okręgowy Szpital Kolejowy Oddział Okulistyczny ##(32) 605 35 91
Okulus S.C. NZOZ z. Getfert A. Mrotek ##502 424 704
Oldent - Pracownia Protetyczna Olga Sekura #         olga.sekura@gmail.com     #Oceń firmę i napisz o niej opinię:
Olechowska Krystyna Ryżycka Urszula S.C. Praktyka Grupowa Lekarzy Domowych NZOZ ##(33) 856 10 39
Olga Tomasik T-Medica Centrum Stomatologiczno-Medyczne ##604 446 161
Olimpionik Sp. z o.o. Praktyka Lekarska ##(32) 271 42 17
OLK-Med Sp. z o.o. Obwód Lecznictwa Katowice #         sekretariat@olk.katowice.pl     #(32) 253 52 95
Olkuszewski Krzysztof Ratownictwo Wodne Asekuracja #         biuro@ratownictwo-asekuracja.pl     #Oceń firmę i napisz o niej opinię:
Olmed Niepubliczny Zakład Opieki Zdrowotnej ##(33) 857 14 28
Ol-Med Sp. z o.o. ##(32) 294 84 17
Olmedical Sp. z o.o. ##(34) 361 16 92
Omega - Dent Pracownia Protetyczna Jan Samolewicz ##(32) 238 99 70
Omega Niepubliczny Zakład Opieki Zdrowotnej #         malomega@interia.pl     #(32) 255 22 22
Omega S.C. Niepubliczny Zakład Opieki Zdrowotnej ##(32) 292 99 15
Omnis Sp. z o.o. #         omnis.bytom@gmail.com     #(32) 286 25 00
On-Clinic Centrum Medycyny Specjalistyczne #         onclinic.chorzow@interia.pl     #(32) 346 01 85
Onkoterm Sp. z o.o. #         hipertermia@hipertermia.eu     #516 165 849
Opalmed Ośrodek Konsultacji i Kształceni Jadwiga Pyszkowska #         pyszkatjp@gmail.com     #(32) 202 44 35
Opieka NZOZ Grzegorz Procajło ##603 138 917
Opifer Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej ##(32) 271 22 80
Opiniowanie Medyczno-Sądowe Dr Hab.N.Med. Czesław Chowaniec #         czeslawchow@op.pl     #Oceń firmę i napisz o niej opinię:
Opti Service Wrożyna Szymon #         info@optiservice.com.pl     #514 294 352
Optima Niepubliczny Zakład Opieki Zdrowotnej Przychodnia Lekarska #         optimaep@go2.pl     #(34) 320 14 43
Optima Sp. z o.o. Przychodnia nr 1 #         nzozoptima@wp.pl     #(32) 327 00 90
Optimed Niepubliczny Zakład Opieki Zdrowotnej ##(32) 316 14 86
Optimed NZOZ ##(32) 300 65 54
Optomed Ośrodek Chirurgii Oka Sp. z o.o. #         jaworski@okulista.pl     #(32) 781 66 66
Optomed Ośrodek Chirurgii Oka Sp. z o.o. Sprzęt Medyczny Sp.k. #         jaworski@okulista.pl     #Oceń firmę i napisz o niej opinię:
Optomed Zakład Lecznictwa Okulistycznego #         optomed20@wp.pl     #(32) 226 33 54
Optometrysta.Pl Alicja Bielawska-Śmiałek #         optometrysta.pl@gmail.com     #507 343 937
Optopol Technology S.A. ##(32) 670 91 73
Optopol Technology Sp. z o.o. #         optopol@optopol.com.pl     #(32) 672 28 00
Optus Katarzyna Buczek #         optus@vp.pl     #(32) 250 62 98
Optyk Grażyna Chrzanowska #         iwa15@eonet.eu     #604 536 842
Orlikowska Iwona Laboratorium Analiz Medycznych ##(34) 371 00 09
Ortho Medpharma Sp. z o.o. #         ortho.med.zywiec@gmail.com     #798 627 633
Ortho Plus Grzegorz Zielenski #         biuro.orthoplus@gmail.com     #Oceń firmę i napisz o niej opinię:
Orthos NZOZ Poradnia Urazowo-Ortopedyczna Poradnia Medycyny Pracy Lekarz Med. Ryszard Zakrzewski #         zakrz52@wp.pl     #(32) 729 31 80
Ortlab Sp. z o.o. ##(34) 367 18 41
Ort-Med Przedsiębiorstwo Handlowo-Usługowe Jacek Welon #         jacekwelon@gazeta.pl     #606 212 832
